Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
11002;Roquette - Thiéré;OUI;23;3;19;16;3;OUI;OUI;2020-12-07T13:25:46+01:00;48.8550793058,2.37336863187;Paris;
10008;Cité Riverin - Château d'Eau;OUI;18;13;5;3;2;OUI;OUI;2020-12-07T13:21:33+01:00;48.8707024236,2.3587398639;Paris;
45003;11 Novembre 1918 - 8 Mai 1945;OUI;36;31;5;2;3;OUI;OUI;2020-12-07T13:21:27+01:00;48.8088953377,2.53824211657;Champigny-sur-Marne;
9022;Rossini - Laffitte;OUI;33;1;32;26;6;OUI;OUI;2020-12-07T13:24:55+01:00;48.8733462751,2.3379808677;Paris;
11047;Amelot - Saint-Sébastien;OUI;30;15;15;13;2;OUI;OUI;2020-12-07T13:25:49+01:00;48.8611421628,2.36779961811;Paris;
16026;Ranelagh - Mozart;OUI;23;16;7;5;2;OUI;OUI;2020-12-07T13:25:20+01:00;48.8554439,2.2704418;Paris;
17030;Pereire - Rennequin;OUI;23;19;4;1;3;OUI;OUI;2020-12-07T13:21:03+01:00;48.8836478289,2.29524470866;Paris;
31001;Lagny - Auguste Blanqui;OUI;27;15;12;11;1;OUI;OUI;2020-12-07T13:23:43+01:00;48.8492256805,2.42186039686;Montreuil;
15067;Desaix - Edgar Faure;OUI;12;1;11;9;2;OUI;OUI;2020-12-07T13:26:35+01:00;48.8528046049,2.29307702986;Paris;
16039;Exelmans - Versailles;OUI;49;38;11;9;2;OUI;OUI;2020-12-07T13:20:28+01:00;48.8409749109,2.26439025253;Paris;
19043;Delphine Seyrig - Général Leclerc;OUI;53;50;2;1;1;OUI;OUI;2020-12-07T13:26:00+01:00;48.8939239631,2.39790290594;Pantin;
11023;Saint-Maur - Roquette;OUI;46;41;5;4;1;OUI;OUI;2020-12-07T13:26:32+01:00;48.8586887741,2.38355399457;Paris;
